,Player,Team,Position,Height,Weight,Birthdate
646,"Hitchcock, Ryan  Hitchcock, Ryan",FA,-,-,-,3/30/1996
647,"Hjalmarsson, Niklas  Hjalmarsson, Niklas",ARI,D,"6'3""",197,6/06/1987
648,"Ho-Sang, Josh  Ho-Sang, Josh",NYI,RW,"6'0""",173,1/22/1996
649,"Hobbs, Connor  Hobbs, Connor",FA,-,-,-,1/04/1997
650,"Hoffman, Mike  Hoffman, Mike",FLA,LW,"6'0""",180,11/24/1989
651,"Hogberg, Marcus  Hogberg, Marcus",OTT,G,"6'5""",209,11/25/1994
652,"Hogstrom, Marcus  Hogstrom, Marcus",CGY,D,"6'4""",201,3/20/1989
653,"Holden, Nick  Holden, Nick",VGK,D,"6'4""",214,5/15/1987
654,"Holl, Justin  Holl, Justin",TOR,D,"6'4""",205,1/30/1992
655,"Holland, Peter  Holland, Peter",NYR,C,"6'2""",205,1/14/1991
656,"Hollowell, Mac  Hollowell, Mac",TOR,D,"5'10""",165,9/26/1998
657,"Holmstrom, Axel  Holmstrom, Axel",FA,-,-,-,6/29/1996
658,"Holtby, Braden  Holtby, Braden",WSH,G,"6'2""",211,9/16/1989
659,"Holzer, Korbinian  Holzer, Korbinian",ANA,D,"6'3""",206,2/16/1988
660,"Holzer, Korbinian  Holzer, Korbinian",ANA,D,"6'3""",206,2/16/1988
661,"Honka, Julius  Honka, Julius",DAL,D,"5'11""",180,12/03/1995
662,"Hornqvist, Patric  Hornqvist, Patric",PIT,RW,"5'11""",189,1/01/1987
663,"Horvat, Bo  Horvat, Bo",VAN,C,"6'0""",215,4/05/1995
664,"Howard, Jimmy  Howard, Jimmy",DET,G,"6'1""",218,3/26/1984
665,"Howden, Brett  Howden, Brett",NYR,C,"6'3""",195,3/28/1998
666,"Hrivik, Marek  Hrivik, Marek",CGY,LW,"6'2""",197,8/28/1991
667,"Hronek, Filip  Hronek, Filip",DET,D,"6'0""",163,11/02/1997
668,"Huberdeau, Jonathan  Huberdeau, Jonathan",FLA,LW,"6'1""",200,6/04/1993
669,"Hudon, Charles  Hudon, Charles",MTL,LW,"5'10""",196,6/23/1994
670,"Hughes, Cameron  Hughes, Cameron",FA,-,-,-,10/09/1996
671,"Hughes, Quinn  Hughes, Quinn",VAN,D,"5'10""",175,10/14/1999
672,"Hunt, Brad  Hunt, Brad",MIN,D,"5'9""",187,8/24/1988
673,"Hunt, Dryden  Hunt, Dryden",FLA,LW,"6'0""",201,11/24/1995
674,"Hunwick, Matt  Hunwick, Matt",BUF,D,"5'11""",200,5/21/1985
675,"Husso, Ville  Husso, Ville",STL,G,"6'3""",205,2/06/1995
676,"Hutchinson, Michael  Hutchinson, Michael",TOR,G,"6'3""",202,3/02/1990
677,"Hutton, Ben  Hutton, Ben",VAN,D,"6'2""",206,4/20/1993
678,"Hutton, Carter  Hutton, Carter",BUF,G,"6'1""",202,12/19/1985
679,"Hyka, Tomas  Hyka, Tomas",VGK,RW,"5'11""",160,3/23/1993
680,"Hyman, Zach  Hyman, Zach",TOR,LW,"6'1""",209,6/09/1992
681,"Iacopelli, Matt  Iacopelli, Matt",FA,-,-,-,5/15/1994
682,"Iafallo, Alex  Iafallo, Alex",LA,LW,"6'0""",188,12/21/1993
683,"Ikonen, Juuso  Ikonen, Juuso",FA,-,-,-,1/03/1995
684,"Imama, Bokondji  Imama, Bokondji",LA,LW,"6'1""",214,8/03/1996
685,"Ingram, Connor  Ingram, Connor",TB,G,"6'1""",212,3/31/1997
686,"Irwin, Matt  Irwin, Matt",NSH,D,"6'1""",207,11/29/1987
687,"Jacobs, Josh  Jacobs, Josh",NJ,D,"6'2""",200,2/15/1996
688,"Jankowski, Mark  Jankowski, Mark",CGY,C,"6'4""",212,9/13/1994
689,"Janmark, Mattias  Janmark, Mattias",DAL,C,"6'1""",195,12/08/1992
690,"Jardine, Sam  Jardine, Sam",TOR,D,"6'2""",209,8/12/1993
691,"Jarnkrok, Calle  Jarnkrok, Calle",NSH,C,"5'11""",186,9/25/1991
692,"Jaros, Christian  Jaros, Christian",OTT,D,"6'3""",201,4/02/1996
693,"Jarry, Tristan  Jarry, Tristan",PIT,G,"6'2""",194,4/29/1995
694,"Jasek, Lukas  Jasek, Lukas",VAN,RW,"6'1""",172,8/28/1997
695,"Jaskin, Dmitrij  Jaskin, Dmitrij",WSH,RW,"6'2""",216,3/23/1993
696,"Jeannot, Tanner  Jeannot, Tanner",NSH,LW,"6'2""",207,5/29/1997
697,"Jenner, Boone  Jenner, Boone",CBJ,C,"6'2""",206,6/15/1993
698,"Jensen, Nick  Jensen, Nick",WSH,D,"6'0""",194,9/21/1990
699,"Jerabek, Jakub  Jerabek, Jakub",STL,D,"5'11""",200,12/05/1991
700,"Johansen, Lucas  Johansen, Lucas",FA,-,-,-,11/16/1997
701,"Johansen, Ryan  Johansen, Ryan",NSH,C,"6'3""",218,7/31/1992
702,"Johansson, Emil  Johansson, Emil",FA,-,-,-,5/06/1996
703,"Johansson, Jonas  Johansson, Jonas",FA,-,-,-,9/19/1995
704,"Johansson, Marcus  Johansson, Marcus",BOS,LW,"6'1""",205,10/06/1990
705,"Johns, Stephen  Johns, Stephen",DAL,D,"6'4""",225,4/18/1992
706,"Johnson, Adam  Johnson, Adam",PIT,LW,"6'0""",174,6/22/1994
707,"Johnson, Cam  Johnson, Cam",NJ,G,"6'1""",205,7/11/1994
708,"Johnson, Chad  Johnson, Chad",ANA,G,"6'3""",197,6/10/1986
709,"Johnson, Erik  Johnson, Erik",COL,D,"6'4""",225,3/21/1988
710,"Johnson, Jack  Johnson, Jack",PIT,D,"6'1""",227,1/13/1987
711,"Johnson, Luke  Johnson, Luke",CHI,C,"5'11""",179,9/19/1994
712,"Johnson, Tyler  Johnson, Tyler",TB,C,"5'8""",183,7/29/1990
713,"Johnsson, Andreas  Johnsson, Andreas",TOR,LW,"5'10""",181,11/21/1994
714,"Johnston, Ross  Johnston, Ross",NYI,LW,"6'5""",235,2/18/1994
715,"Jokiharju, Henri  Jokiharju, Henri",CHI,D,"6'0""",193,6/17/1999
716,"Jokinen, Jussi  Jokinen, Jussi",DET,LW,"6'0""",191,4/01/1983
717,"Jones, Caleb  Jones, Caleb",EDM,D,"6'1""",194,6/06/1997
718,"Jones, Martin  Jones, Martin",SJ,G,"6'4""",190,1/10/1990
719,"Jones, Max  Jones, Max",ANA,LW,"6'3""",210,2/17/1998
720,"Jones, Seth  Jones, Seth",CBJ,D,"6'4""",210,10/03/1994
721,"Jonsson-Fjallby, Axel  Jonsson-Fjallby, Axel",FA,-,-,-,2/10/1998
722,"Jooris, Josh  Jooris, Josh",TOR,RW,"6'1""",197,7/14/1990
723,"Joseph, Mathieu  Joseph, Mathieu",TB,RW,"6'1""",190,2/09/1997
724,"Joseph, Pierre-Olivier  Joseph, Pierre-Olivier",FA,-,-,-,7/01/1999
725,"Josi, Roman  Josi, Roman",NSH,D,"6'1""",201,6/01/1990
726,"Jost, Tyson  Jost, Tyson",COL,C,"5'11""",191,3/14/1998
727,"Juolevi, Olli  Juolevi, Olli",FA,-,-,-,5/05/1998
728,"Jurco, Tomas  Jurco, Tomas",CHI,LW,"6'2""",188,12/28/1992
729,"Juulsen, Noah  Juulsen, Noah",MTL,D,"6'2""",174,4/02/1997
730,"Kadri, Nazem  Kadri, Nazem",TOR,C,"6'0""",192,10/06/1990
731,"Kahkonen, Kaapo  Kahkonen, Kaapo",MIN,-,-,-,8/16/1996
732,"Kahun, Dominik  Kahun, Dominik",PIT,C,"5'11""",175,7/02/1995
733,"Kamenev, Vladislav  Kamenev, Vladislav",COL,C,"6'2""",194,8/12/1996
734,"Kammerer, Maximilian  Kammerer, Maximilian",FA,-,-,-,9/28/1996
735,"Kampf, David  Kampf, David",CHI,C,"6'2""",188,1/12/1995
736,"Kampfer, Steven  Kampfer, Steven",BOS,D,"5'11""",198,9/24/1988
737,"Kane, Evander  Kane, Evander",SJ,LW,"6'2""",210,8/02/1991
738,"Kane, Patrick  Kane, Patrick",CHI,RW,"5'10""",177,11/19/1988
739,"Kapanen, Kasperi  Kapanen, Kasperi",TOR,RW,"6'1""",192,7/23/1996
740,"Karlsson, Erik  Karlsson, Erik",SJ,D,"6'0""",190,5/31/1990
741,"Karlsson, Melker  Karlsson, Melker",SJ,C,"6'0""",180,7/18/1990
742,"Karlsson, William  Karlsson, William",VGK,C,"6'1""",189,1/08/1993
743,"Kase, Ondrej  Kase, Ondrej",ANA,RW,"5'11""",186,11/08/1995
744,"Kaskisuo, Kasimir  Kaskisuo, Kasimir",TOR,G,"6'3""",194,10/02/1993
745,"Kassian, Zack  Kassian, Zack",EDM,RW,"6'3""",211,1/24/1991
746,"Katchouk, Boris  Katchouk, Boris",TB,LW,"6'1""",183,6/18/1998
747,"Kaut, Martin  Kaut, Martin",FA,-,-,-,10/02/1999
748,"Keane, Joey  Keane, Joey",FA,-,-,-,7/02/1999
749,"Keeper, Brady  Keeper, Brady",FLA,D,"6'0""",195,6/05/1996
750,"Keith, Duncan  Keith, Duncan",CHI,D,"6'1""",192,7/16/1983
751,"Keller, Clayton  Keller, Clayton",ARI,RW,"5'10""",170,7/29/1998
752,"Kelly, Chris  Kelly, Chris",ANA,C,"6'0""",190,11/11/1980
753,"Kelly, Parker  Kelly, Parker",FA,-,-,-,5/14/1999
754,"Kempe, Adrian  Kempe, Adrian",LA,C,"6'2""",201,9/13/1996
755,"Kempe, Mario  Kempe, Mario",ARI,RW,"6'0""",185,9/19/1988
756,"Kempny, Michal  Kempny, Michal",WSH,D,"6'0""",194,9/08/1990
757,"Kerdiles, Nicolas  Kerdiles, Nicolas",FA,-,-,-,1/11/1994
758,"Kerfoot, Alexander  Kerfoot, Alexander",COL,C,"5'10""",175,8/11/1994
759,"Kero, Tanner  Kero, Tanner",VAN,C,"6'0""",185,7/24/1992
760,"Kesler, Ryan  Kesler, Ryan",ANA,C,"6'2""",206,8/31/1984
761,"Kessel, Phil  Kessel, Phil",PIT,RW,"6'0""",202,10/02/1987
762,"Kestner, Josh  Kestner, Josh",TOR,RW,"6'1""",185,11/08/1993
763,"Keyser, Kyle  Keyser, Kyle",BOS,G,"6'2""",185,3/08/1999
764,"Khaira, Jujhar  Khaira, Jujhar",EDM,LW,"6'4""",212,8/13/1994
765,"Khudobin, Anton  Khudobin, Anton",DAL,G,"5'11""",200,5/07/1986
766,"Kielly, Jake  Kielly, Jake",VAN,G,"6'2""",201,9/10/1996
767,"Killorn, Alex  Killorn, Alex",TB,LW,"6'1""",196,9/14/1989
768,"Kinkaid, Keith  Kinkaid, Keith",CBJ,G,"6'3""",195,7/04/1989
769,"Kirkland, Justin  Kirkland, Justin",NSH,LW,"6'3""",183,8/02/1996
770,"Kiselevich, Bogdan  Kiselevich, Bogdan",WPG,D,"6'0""",207,2/14/1990
771,"Kivlenieks, Matiss  Kivlenieks, Matiss",CBJ,G,"6'2""",184,8/26/1996
772,"Klefbom, Oscar  Klefbom, Oscar",EDM,D,"6'3""",216,7/20/1993
773,"Klima, Kevin  Klima, Kevin",FA,-,-,-,6/05/1997
774,"Klimchuk, Morgan  Klimchuk, Morgan",FA,-,-,-,3/02/1995
775,"Klingberg, John  Klingberg, John",DAL,D,"6'2""",180,8/14/1992
776,"Kloos, Justin  Kloos, Justin",ANA,RW,"5'9""",182,11/30/1993
777,"Knight, Corban  Knight, Corban",PHI,RW,"6'2""",195,9/10/1990
778,"Knott, Graham  Knott, Graham",FA,-,-,-,1/13/1997
779,"Koekkoek, Slater  Koekkoek, Slater",CHI,D,"6'2""",193,2/18/1994
780,"Koivu, Mikko  Koivu, Mikko",MIN,C,"6'3""",219,3/12/1983
781,"Koivula, Otto  Koivula, Otto",FA,-,-,-,9/01/1998
782,"Kolesar, Keegan  Kolesar, Keegan",FA,-,-,-,4/08/1997
783,"Komarov, Leo  Komarov, Leo",NYI,RW,"5'11""",209,1/23/1987
784,"Konecny, Travis  Konecny, Travis",PHI,C,"5'10""",175,3/11/1997
785,"Kopacka, Jack  Kopacka, Jack",FA,-,-,-,3/05/1998
786,"Kopitar, Anze  Kopitar, Anze",LA,C,"6'3""",225,8/24/1987
787,"Koppanen, Joona  Koppanen, Joona",FA,-,-,-,2/25/1998
788,"Korenar, Josef  Korenar, Josef",SJ,G,"6'1""",185,1/31/1998
789,"Korostelev, Nikita  Korostelev, Nikita",FA,-,-,-,2/08/1997
790,"Korpisalo, Joonas  Korpisalo, Joonas",CBJ,G,"6'3""",182,4/28/1994
791,"Koskinen, Mikko  Koskinen, Mikko",EDM,G,"6'7""",202,7/18/1988
792,"Kosmachuk, Scott  Kosmachuk, Scott",FA,-,-,-,1/24/1994
793,"Kossila, Kalle  Kossila, Kalle",ANA,C,"5'10""",180,4/14/1993
794,"Kostin, Klim  Kostin, Klim",STL,RW,"6'3""",212,5/05/1999
795,"Kotkaniemi, Jesperi  Kotkaniemi, Jesperi",MTL,C,"6'2""",184,7/06/2000
796,"Koules, Miles  Koules, Miles",FA,-,-,-,6/25/1994
797,"Kovalchuk, Ilya  Kovalchuk, Ilya",LA,LW,"6'3""",222,4/15/1983
798,"Kovar, Jan  Kovar, Jan",NYI,RW,"6'0""",209,3/20/1990
799,"Kowalkosli, Justin  Kowalkosli, Justin",DET,G,"0'0""",0,-
800,"Kral, Filip  Kral, Filip",TOR,D,"6'1""",185,10/20/1999
801,"Kreider, Chris  Kreider, Chris",NYR,LW,"6'3""",216,4/30/1991
802,"Krejci, David  Krejci, David",BOS,C,"6'0""",188,4/28/1986
803,"Kronwall, Niklas  Kronwall, Niklas",DET,D,"6'0""",194,1/12/1981
804,"Krug, Torey  Krug, Torey",BOS,D,"5'9""",186,4/12/1991
805,"Kruger, Marcus  Kruger, Marcus",CHI,C,"6'0""",186,5/27/1990
806,"Kubiak, Jeff  Kubiak, Jeff",FA,-,-,-,1/18/1994
807,"Kucherov, Nikita  Kucherov, Nikita",TB,RW,"5'11""",178,6/17/1993
808,"Kuemper, Darcy  Kuemper, Darcy",ARI,G,"6'5""",215,5/05/1990
809,"Kuffner, Ryan  Kuffner, Ryan",DET,LW,"6'1""",195,6/12/1996
810,"Kuhlman, Karson  Kuhlman, Karson",BOS,RW,"5'11""",185,9/26/1995
811,"Kuhnhackl, Tom  Kuhnhackl, Tom",NYI,RW,"6'2""",196,1/21/1992
812,"Kukan, Dean  Kukan, Dean",CBJ,D,"6'2""",186,7/08/1993
813,"Kulak, Brett  Kulak, Brett",MTL,D,"6'2""",187,1/06/1994
814,"Kulemin, Nikolay  Kulemin, Nikolay",NYI,LW,"6'1""",228,7/14/1986
815,"Kulikov, Dmitry  Kulikov, Dmitry",WPG,D,"6'1""",204,10/29/1990
816,"Kunin, Luke  Kunin, Luke",MIN,C,"6'0""",195,12/04/1997
817,"Kunitz, Chris  Kunitz, Chris",CHI,LW,"6'0""",188,9/26/1979
818,"Kuokkanen, Janne  Kuokkanen, Janne",CAR,C,"6'1""",195,5/25/1998
819,"Kuraly, Sean  Kuraly, Sean",BOS,C,"6'2""",213,1/20/1993
820,"Kurashev, Philipp  Kurashev, Philipp",FA,-,-,-,10/12/1999
821,"Kuznetsov, Evgeny  Kuznetsov, Evgeny",WSH,C,"6'2""",204,5/19/1992
822,"Kylington, Oliver  Kylington, Oliver",CGY,D,"6'0""",183,5/19/1997
823,"Kyrou, Jordan  Kyrou, Jordan",STL,C,"6'0""",175,5/08/1998
824,"L'Esperance, Joel  L'Esperance, Joel",DAL,C,"6'2""",208,8/18/1995
825,"Labanc, Kevin  Labanc, Kevin",SJ,RW,"5'11""",185,12/12/1995
826,"Labate, Joseph  Labate, Joseph",FA,-,-,-,4/16/1993
827,"Laberge, Pascal  Laberge, Pascal",PHI,RW,"6'1""",182,4/09/1998
828,"Laberge, Samuel  Laberge, Samuel",DAL,LW,"6'2""",200,4/10/1997
829,"LaBlanc, Stefan  LaBlanc, Stefan",TOR,D,"6'0""",197,3/16/1996
830,"Labrie, Hubert  Labrie, Hubert",TB,D,"5'11""",190,7/12/1991
831,"Lack, Eddie  Lack, Eddie",NJ,G,"6'4""",187,1/05/1988
832,"Ladd, Andrew  Ladd, Andrew",NYI,LW,"6'3""",192,12/12/1985
833,"LaDue, Paul  LaDue, Paul",LA,D,"6'2""",200,9/06/1992
834,"Lafferty, Sam  Lafferty, Sam",PIT,C,"6'1""",195,3/06/1995
835,"Lagace, Maxime  Lagace, Maxime",VGK,G,"6'2""",190,1/12/1993
836,"Lagesson, William  Lagesson, William",FA,-,-,-,2/22/1996
837,"Laine, Patrik  Laine, Patrik",WPG,RW,"6'5""",206,4/19/1998
838,"Lajoie, Max  Lajoie, Max",OTT,D,"6'1""",183,11/05/1997
839,"LaLeggia, Joey  LaLeggia, Joey",FA,-,-,-,6/24/1992
840,"Lalonde, Owen  Lalonde, Owen",TOR,D,"6'1""",184,2/01/2000
841,"Lammikko, Juho  Lammikko, Juho",FLA,RW,"6'2""",191,1/29/1996
842,"Landeskog, Gabriel  Landeskog, Gabriel",COL,LW,"6'1""",215,11/23/1992
843,"Lane, Matt  Lane, Matt",NSH,LW,"5'10""",176,3/15/1994
844,"Lankinen, Kevin  Lankinen, Kevin",CHI,G,"6'2""",185,4/28/1995
845,"Lappin, Nick  Lappin, Nick",NJ,RW,"6'1""",174,11/01/1992
846,"Larkin, Dylan  Larkin, Dylan",DET,RW,"6'1""",198,7/30/1996
847,"Larkin, Dylan  Larkin, Dylan",DET,C,"6'1""",198,7/30/1996
848,"Larsson, Adam  Larsson, Adam",EDM,D,"6'3""",208,11/12/1992
849,"Larsson, Filip  Larsson, Filip",DET,G,"6'2""",185,8/17/1998
850,"Larsson, Jacob  Larsson, Jacob",ANA,D,"6'2""",197,4/29/1997
851,"Larsson, Johan  Larsson, Johan",BUF,C,"5'11""",198,7/25/1992
852,"Lashoff, Brian  Lashoff, Brian",DET,D,"6'3""",221,7/16/1990
853,"Laughton, Scott  Laughton, Scott",PHI,C,"6'1""",190,5/30/1994
854,"Lauko, Jakub  Lauko, Jakub",BOS,LW,"6'1""",172,3/28/2000
855,"Lauzon, Jeremy  Lauzon, Jeremy",BOS,D,"6'1""",204,4/28/1997
856,"Lazar, Curtis  Lazar, Curtis",CGY,C,"6'0""",209,2/02/1995
857,"Leddy, Nick  Leddy, Nick",NYI,D,"6'0""",207,3/20/1991
858,"Lee, Anders  Lee, Anders",NYI,LW,"6'3""",231,7/03/1990
859,"Lehkonen, Artturi  Lehkonen, Artturi",MTL,LW,"6'0""",177,7/04/1995
860,"Lehner, Robin  Lehner, Robin",NYI,G,"6'4""",240,7/24/1991
861,"Lehtera, Jori  Lehtera, Jori",PHI,C,"6'2""",212,12/23/1987
862,"Lehtonen, Kari  Lehtonen, Kari",DAL,G,"6'4""",209,11/16/1983
863,"Leier, Taylor  Leier, Taylor",PHI,LW,"5'10""",174,2/15/1994
864,"Leipsic, Brendan  Leipsic, Brendan",LA,LW,"5'10""",179,5/19/1994
865,"Leivo, Josh  Leivo, Josh",VAN,LW,"6'2""",192,5/26/1993
866,"Lemieux, Brendan  Lemieux, Brendan",NYR,LW,"6'1""",210,3/15/1996
867,"Lernout, Brett  Lernout, Brett",FA,-,-,-,9/24/1995
868,"Letang, Kris  Letang, Kris",PIT,D,"6'0""",201,4/24/1987
869,"Letestu, Mark  Letestu, Mark",CBJ,C,"5'10""",195,2/04/1985
870,"Lettieri, Vinni  Lettieri, Vinni",NYR,C,"5'10""",187,2/06/1995
871,"Letunov, Maxim  Letunov, Maxim",SJ,C,"6'2""",155,2/20/1996
872,"Lewington, Tyler  Lewington, Tyler",WSH,D,"6'0""",194,12/05/1994
873,"Lewis, Trevor  Lewis, Trevor",LA,C,"6'1""",202,1/08/1987
874,"Lewis, Ty  Lewis, Ty",FA,-,-,-,3/05/1998
875,"Liambas, Mike  Liambas, Mike",FA,-,-,-,2/16/1989
876,"Liljegren, Timothy  Liljegren, Timothy",FA,-,-,-,4/30/1999
877,"Lind, Kole  Lind, Kole",VAN,RW,"6'1""",176,10/16/1998
878,"Lindberg, Oscar  Lindberg, Oscar",OTT,C,"6'1""",202,10/29/1991
879,"Lindberg, Tobias  Lindberg, Tobias",PIT,RW,"6'3""",217,7/22/1995
880,"Lindblom, Oskar  Lindblom, Oskar",PHI,LW,"6'1""",191,8/15/1996
881,"Lindell, Esa  Lindell, Esa",DAL,D,"6'3""",215,5/23/1994
882,"Lindgren, Charlie  Lindgren, Charlie",MTL,G,"6'2""",190,12/18/1993
883,"Lindgren, Jesper  Lindgren, Jesper",TOR,D,"6'0""",165,5/19/1997
884,"Lindgren, Ryan  Lindgren, Ryan",NYR,D,"6'0""",201,2/11/1998
885,"Lindholm, Anton  Lindholm, Anton",COL,D,"5'11""",191,11/29/1994
886,"Lindholm, Elias  Lindholm, Elias",CGY,C,"6'1""",195,12/02/1994
887,"Lindholm, Hampus  Lindholm, Hampus",ANA,D,"6'3""",211,1/20/1994
888,"Lindholm, Par  Lindholm, Par",WPG,C,"6'0""",183,10/05/1991
889,"Lindqvist, Michael  Lindqvist, Michael",FA,-,-,-,9/12/1994
890,"Lintuniemi, Alex  Lintuniemi, Alex",FA,-,-,-,9/23/1995
891,"Lipanov, Alexei  Lipanov, Alexei",TB,C,"6'0""",165,8/17/1999
892,"Lipon, J.C.  Lipon, J.C.",FA,-,-,-,7/10/1993
893,"Little, Bryan  Little, Bryan",WPG,C,"6'0""",191,11/12/1987
894,"Lizotte, Blake  Lizotte, Blake",LA,C,"5'9""",170,12/13/1997
895,"Lodnia, Ivan  Lodnia, Ivan",FA,-,-,-,8/31/1999
896,"Lomberg, Ryan  Lomberg, Ryan",CGY,LW,"5'9""",187,12/09/1994
897,"Looke, Jens  Looke, Jens",FA,-,-,-,4/11/1997
898,"Lorito, Matt  Lorito, Matt",NYI,RW,"5'9""",170,7/03/1990
899,"Louis, Anthony  Louis, Anthony",FA,-,-,-,2/10/1995
900,"Lovejoy, Ben  Lovejoy, Ben",DAL,D,"6'1""",205,2/20/1984
901,"LoVerde, Vincent  LoVerde, Vincent",FA,-,-,-,4/14/1989
902,"Lowe, Keegan  Lowe, Keegan",FA,-,-,-,3/29/1993
903,"Lowry, Adam  Lowry, Adam",WPG,C,"6'5""",210,3/29/1993
904,"Lucic, Milan  Lucic, Milan",EDM,LW,"6'3""",231,6/07/1988
905,"Luff, Matt  Luff, Matt",LA,RW,"6'2""",196,5/05/1997
906,"Lundestrom, Isac  Lundestrom, Isac",ANA,C,"6'0""",185,11/06/1999
907,"Lundqvist, Henrik  Lundqvist, Henrik",NYR,G,"6'1""",180,3/02/1982
908,"Luongo, Roberto  Luongo, Roberto",FLA,G,"6'3""",215,4/04/1979
909,"Luukkonen, Ukko-Pekka  Luukkonen, Ukko-Pekka",BUF,G,"6'5""",209,3/09/1999
910,"Lynch, Kevin  Lynch, Kevin",TB,C,"6'1""",205,4/23/1991
911,"Lyon, Alex  Lyon, Alex",PHI,G,"6'1""",198,12/09/1992
912,"Lyubushkin, Ilya  Lyubushkin, Ilya",ARI,D,"6'2""",201,4/06/1994
913,"Lyytinen, Joonas  Lyytinen, Joonas",NSH,D,"6'0""",173,4/04/1995
914,"Maatta, Olli  Maatta, Olli",CHI,D,"6'2""",206,8/22/1994
915,"MacDermid, Kurtis  MacDermid, Kurtis",LA,D,"6'3""",203,3/25/1994
916,"MacDonald, Andrew  MacDonald, Andrew",PHI,D,"6'1""",204,9/07/1986
917,"MacDonald, Jacob  MacDonald, Jacob",FLA,D,"6'0""",208,2/26/1993
918,"MacEachern, Mackenzie  MacEachern, Mackenzie",STL,LW,"6'2""",190,3/09/1994
919,"Macek, Brooks  Macek, Brooks",FA,-,-,-,5/15/1992
920,"MacEwen, Zack  MacEwen, Zack",VAN,C,"6'3""",198,7/08/1996
921,"MacInnis, Ryan  MacInnis, Ryan",FA,-,-,-,2/14/1996
922,"MacKenzie, Derek  MacKenzie, Derek",FLA,C,"5'11""",177,6/11/1981
923,"MacKinnon, Nathan  MacKinnon, Nathan",COL,C,"6'0""",205,9/01/1995
924,"Maenalanen, Saku  Maenalanen, Saku",CAR,RW,"6'4""",207,5/29/1994
925,"Magwood, Zach  Magwood, Zach",NSH,C,"5'10""",190,4/22/1998
926,"Mahura, Josh  Mahura, Josh",ANA,D,"6'1""",192,5/05/1998
927,"Makar, Cale  Makar, Cale",COL,D,"5'11""",179,10/30/1998
928,"Malenstyn, Beck  Malenstyn, Beck",FA,-,-,-,2/04/1998
929,"Malgin, Denis  Malgin, Denis",FLA,C,"5'9""",177,1/18/1997
930,"Malkin, Evgeni  Malkin, Evgeni",PIT,C,"6'3""",195,7/31/1986
931,"Malone, Brad  Malone, Brad",EDM,LW,"6'2""",207,5/20/1989
932,"Malone, Sean  Malone, Sean",BUF,LW,"6'0""",197,4/30/1995
933,"Mamin, Maxim  Mamin, Maxim",FLA,RW,"6'2""",201,1/13/1995
934,"Mangiapane, Andrew  Mangiapane, Andrew",CGY,LW,"5'10""",184,4/04/1996
935,"Manning, Brandon  Manning, Brandon",EDM,D,"6'1""",205,6/04/1990
936,"Manson, Josh  Manson, Josh",ANA,D,"6'3""",216,10/07/1991
937,"Mantha, Anthony  Mantha, Anthony",DET,RW,"6'5""",225,9/16/1994
938,"Marchand, Brad  Marchand, Brad",BOS,LW,"5'9""",181,5/11/1988
939,"Marchessault, Jonathan  Marchessault, Jonathan",VGK,C,"5'9""",174,12/27/1990
940,"Marincin, Martin  Marincin, Martin",TOR,D,"6'5""",213,2/18/1992
941,"Markison, Colin  Markison, Colin",DAL,RW,"5'10""",185,8/06/1992
942,"Markstrom, Jacob  Markstrom, Jacob",VAN,G,"6'6""",206,1/31/1990
943,"Marleau, Patrick  Marleau, Patrick",CAR,C,"6'2""",218,9/15/1979
944,"Marner, Mitchell  Marner, Mitchell",TOR,RW,"6'0""",175,5/05/1997
945,"Marody, Cooper  Marody, Cooper",EDM,C,"6'0""",190,12/20/1996
946,"Maroon, Patrick  Maroon, Patrick",STL,LW,"6'3""",225,4/23/1988
947,"Martel, Danick  Martel, Danick",TB,LW,"5'8""",162,12/12/1994
948,"Martenet, Chris  Martenet, Chris",DAL,D,"6'7""",220,9/25/1996
949,"Martin, Matt  Martin, Matt",NYI,LW,"6'3""",220,5/08/1989
950,"Martin, Paul  Martin, Paul",SJ,D,"6'1""",200,3/05/1981
951,"Martin, Spencer  Martin, Spencer",FA,-,-,-,6/08/1995
952,"Martinez, Alec  Martinez, Alec",LA,D,"6'1""",209,7/26/1987
953,"Martinook, Jordan  Martinook, Jordan",CAR,LW,"6'0""",196,7/25/1992
954,"Martinsen, Andreas  Martinsen, Andreas",CHI,C,"6'3""",229,6/13/1990
955,"Mascherin, Adam  Mascherin, Adam",DAL,LW,"5'9""",197,6/06/1998
956,"Masin, Dominik  Masin, Dominik",TB,D,"6'2""",189,2/01/1996
957,"Mason, Steve  Mason, Steve",WPG,G,"6'4""",210,5/29/1988
958,"Massie, Jake  Massie, Jake",FA,-,-,-,1/21/1997
959,"Matheson, Michael  Matheson, Michael",FLA,D,"6'2""",193,2/27/1994
960,"Matteau, Stefan  Matteau, Stefan",VGK,RW,"6'2""",220,2/23/1994
961,"Matthews, Auston  Matthews, Auston",TOR,C,"6'3""",223,9/17/1997
962,"Matthias, Shawn  Matthias, Shawn",WPG,LW,"6'4""",231,2/19/1988
963,"Mayfield, Scott  Mayfield, Scott",NYI,D,"6'5""",223,10/14/1992
964,"Mayo, Dysin  Mayo, Dysin",FA,-,-,-,8/17/1996
965,"Mazanec, Marek  Mazanec, Marek",TB,G,"6'4""",187,7/18/1991
966,"McAdam, Eamon  McAdam, Eamon",TOR,G,"6'3""",195,9/24/1994
967,"McAvoy, Charlie  McAvoy, Charlie",BOS,D,"6'0""",208,12/21/1997
